"Lon";"Lat";"scientificName";"year";"month";"day";"accessRights";"bibliographicCitation";"name_sort";"X_leaflet_id";"layerId";"edit_id"
"56";-8.190232;40.219688;"Quercus lusitanica Lam.";2024;5;23;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"57";-8.193022;40.218388;"Quercus lusitanica Lam.";2024;5;23;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"58";-5.624631;36.509856;"Quercus lusitanica Lam.";2024;6;1;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Spain";305;"305";"305"
"59";-8.869471;39.85395;"Quercus lusitanica Lam.";2024;6;24;"http://creativecommons.org/licenses/by/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"60";-8.182897;40.187477;"Quercus lusitanica Lam.";2024;8;10;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"61";-8.206253;40.231232;"Quercus lusitanica Lam.";2024;8;30;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"62";-8.274253;40.115833;"Quercus lusitanica Lam.";2024;9;22;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"63";-8.293373;40.127869;"Quercus lusitanica Lam.";2024;9;21;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"64";-8.273045;40.118889;"Quercus lusitanica Lam.";2024;9;22;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"65";-8.299298;40.125351;"Quercus lusitanica Lam.";2024;9;21;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
