"PA";"Lon";"Lat"
0;-50.2916666666667;2.125
0;-50.2083333333333;-31.625
0;-46.375;-1.04166666666666
0;-40.5416666666667;-21.4583333333333
0;-38.2916666666667;-3.29166666666666
0;-56.125;-37.375
0;-52.2083333333333;-33.5416666666667
0;-44.4583333333333;-2.54166666666666
0;-59.5416666666667;-42.0416666666667
0;-47.0416666666667;-27.125
0;-48.2083333333333;-27.0416666666667
0;-58.125;-38.9583333333333
0;-45.875;0.0416666666666714
0;-48.5416666666667;3.45833333333334
0;-50.5416666666667;-0.0416666666666643
0;-42.2916666666667;-23.4583333333333
0;-50.7916666666667;-31.9583333333333
0;-45.625;-0.0416666666666643
0;-58.2083333333333;-41.0416666666667
0;-43.2916666666667;-23.875
0;-48.7916666666667;-29.375
0;-48.2916666666667;3.04166666666667
0;-61.7083333333333;-39.375
0;-50.875;-33.5416666666667
0;-61.0416666666667;-41.4583333333333
0;-60.625;9.875
0;-58.125;-38.7916666666667
0;-47.7916666666667;1.95833333333334
0;-63.0416666666667;-41.2916666666667
0;-56.4583333333333;6.29166666666667
0;-54.2916666666667;-36.875
0;-48.2916666666667;1.375
0;-61.125;-40.9583333333333
0;-50.375;-32.2083333333333
0;-47.0416666666667;0.625
0;-44.875;-24.625
0;-44.7083333333333;-24.625
0;-61.4583333333333;-42.375
0;-56.5416666666667;6.625
0;-49.0416666666667;0.875
0;-45.625;-0.458333333333329
0;-58.125;-40.125
0;-46.875;-25.625
0;-49.5416666666667;2.20833333333334
0;-58.625;-39.875
0;-49.625;0.708333333333336
0;-48.875;0.0416666666666714
0;-50.125;0.0416666666666714
0;-58.125;7.375
0;-56.875;-40.2083333333333
0;-61.4583333333333;-39.7083333333333
0;-63.2083333333333;-41.2083333333333
0;-58.875;-40.125
0;-50.125;4.125
0;-49.375;2.54166666666667
0;-59.875;-39.125
0;-44.5416666666667;-1.125
0;-44.0416666666667;-0.791666666666664
0;-56.7916666666667;6.375
0;-59.4583333333333;8.29166666666667
0;-43.7916666666667;-1.79166666666666
0;-41.4583333333333;-22.2916666666667
0;-49.375;4.04166666666667
0;-64.2916666666667;-41.7916666666667
0;-61.2916666666667;-39.875
0;-50.0416666666667;1.79166666666667
0;-52.625;6.04166666666667
0;-50.2083333333333;0.0416666666666714
0;-60.2083333333333;9.79166666666667
0;-41.375;-2.54166666666666
0;-49.7916666666667;-29.5416666666667
0;-57.7083333333333;7.625
0;-44.875;-23.5416666666667
0;-59.0416666666667;-40.125
0;-58.4583333333333;7.45833333333334
0;-61.4583333333333;-39.375
0;-50.4583333333333;2.54166666666667
0;-35.2916666666667;-5.04166666666666
0;-37.2083333333333;-4.375
0;-45.2916666666667;-24.7916666666667
