id	institutionCode	datasetName	eventID	eventDate	locationID	countryCode	locality	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters
Santa Maria island_2018-08-30T15:58:20	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-30T15:58:20	2018-08-30T15:58:20	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.15	2000m
Santa Maria island_2018-08-31T10:14:51	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-31T10:14:51	2018-08-31T10:14:51	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.15	2500m
Santa Maria island_2018-08-31T15:01:40	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-31T15:01:40	2018-08-31T15:01:40	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.20	2000m
Santa Maria island_2018-08-31T15:09:31	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-31T15:09:31	2018-08-31T15:09:31	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.20	2000m
Santa Maria island_2018-08-31T18:36:47	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-31T18:36:47	2018-08-31T18:36:47	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.00	-25.15	3500m
Santa Maria island_2018-08-31T18:37:02	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-31T18:37:02	2018-08-31T18:37:02	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.00	-25.15	3500m
Santa Maria island_2018-08-31T18:37:09	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-31T18:37:09	2018-08-31T18:37:09	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.00	-25.15	3500m
Santa Maria island_2018-08-31T18:38:19	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-31T18:38:19	2018-08-31T18:38:19	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.00	-25.15	3500m
Santa Maria island_2018-08-31T18:39:07	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-31T18:39:07	2018-08-31T18:39:07	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.00	-25.15	3500m
Santa Maria island_2018-08-31T18:40:13	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-31T18:40:13	2018-08-31T18:40:13	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.00	-25.15	3500m
Santa Maria island_2018-08-31T18:43:25	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-08-31T18:43:25	2018-08-31T18:43:25	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.00	-25.15	3500m
Santa Maria island_2018-09-01T16:58:58	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-01T16:58:58	2018-09-01T16:58:58	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.00	-25.20	3000m
Santa Maria island_2018-09-01T16:59:36	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-01T16:59:36	2018-09-01T16:59:36	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.00	-25.20	3000m
Santa Maria island_2018-09-01T17:57:26	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-01T17:57:26	2018-09-01T17:57:26	http://marineregions.org/mrgid/2459	PT	Santa Maria island	36.95	-25.20	2000m
Santa Maria island_2018-09-01T17:58:10	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-01T17:58:10	2018-09-01T17:58:10	http://marineregions.org/mrgid/2459	PT	Santa Maria island	36.95	-25.20	2000m
Santa Maria island_2018-09-01T17:59:01	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-01T17:59:01	2018-09-01T17:59:01	http://marineregions.org/mrgid/2459	PT	Santa Maria island	36.95	-25.20	2000m
Santa Maria island_2018-09-01T17:59:45	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-01T17:59:45	2018-09-01T17:59:45	http://marineregions.org/mrgid/2459	PT	Santa Maria island	36.95	-25.20	2000m
Santa Maria island_2018-09-01T18:00:06	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-01T18:00:06	2018-09-01T18:00:06	http://marineregions.org/mrgid/2459	PT	Santa Maria island	36.95	-25.20	2000m
Santa Maria island_2018-09-01T18:09:05	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-01T18:09:05	2018-09-01T18:09:05	http://marineregions.org/mrgid/2459	PT	Santa Maria island	36.95	-25.20	2000m
Santa Maria island_2018-09-01T18:10:10	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-01T18:10:10	2018-09-01T18:10:10	http://marineregions.org/mrgid/2459	PT	Santa Maria island	36.95	-25.20	2000m
Santa Maria island_2018-09-04T12:08:59	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-04T12:08:59	2018-09-04T12:08:59	http://marineregions.org/mrgid/2459	PT	Santa Maria island	36.95	-25.10	2500m
Santa Maria island_2018-09-04T17:21:51	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-04T17:21:51	2018-09-04T17:21:51	http://marineregions.org/mrgid/2459	PT	Santa Maria island	36.90	-25.05	3500m
Santa Maria island_2018-09-04T17:22:05	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-04T17:22:05	2018-09-04T17:22:05	http://marineregions.org/mrgid/2459	PT	Santa Maria island	36.90	-25.05	3500m
Santa Maria island_2018-09-07T14:59:09	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-07T14:59:09	2018-09-07T14:59:09	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-09-07T14:59:15	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-07T14:59:15	2018-09-07T14:59:15	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-09-07T14:59:19	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-07T14:59:19	2018-09-07T14:59:19	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-09-07T14:59:25	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-07T14:59:25	2018-09-07T14:59:25	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-09-07T15:00:07	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-07T15:00:07	2018-09-07T15:00:07	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-09-07T15:00:17	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-07T15:00:17	2018-09-07T15:00:17	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-09-07T15:00:20	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-07T15:00:20	2018-09-07T15:00:20	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-09-07T15:01:07	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-07T15:01:07	2018-09-07T15:01:07	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-09-07T15:01:42	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-07T15:01:42	2018-09-07T15:01:42	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-09-07T15:02:09	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-07T15:02:09	2018-09-07T15:02:09	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-09-07T15:02:25	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-07T15:02:25	2018-09-07T15:02:25	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-09-07T15:10:03	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-07T15:10:03	2018-09-07T15:10:03	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-09-07T15:10:08	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-07T15:10:08	2018-09-07T15:10:08	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-09-07T15:10:17	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-07T15:10:17	2018-09-07T15:10:17	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-09-07T15:12:17	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-07T15:12:17	2018-09-07T15:12:17	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-09-07T15:14:20	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-07T15:14:20	2018-09-07T15:14:20	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
